<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;240103;000000;271.75;274.7;271;274.56;20408560
SBER;D;240104;000000;274.68;275.48;273.7;274.12;11679550
SBER;D;240105;000000;274.3;274.69;272.8;273.62;9622380
SBER;D;240108;000000;273.59;277;273.53;276.76;21427450
SBER;D;240109;000000;276.94;278;274.71;275.28;20263120
SBER;D;240110;000000;275.3;276.16;273.64;274.49;20618950
SBER;D;240111;000000;274.62;275.97;274.01;275.71;19520470
SBER;D;240112;000000;275.9;276.96;274.77;275.84;17608350
SBER;D;240115;000000;276.3;277.73;275.21;275.96;21283290
SBER;D;240116;000000;276.24;276.45;274.1;276.01;16084140
SBER;D;240117;000000;276.02;279.17;275.75;278;34137100
SBER;D;240118;000000;278.22;278.87;276.76;277.07;17671830
SBER;D;240119;000000;277.39;277.47;273.55;274.86;28038880
SBER;D;240122;000000;274.89;275.9;273.85;274.93;15050630
SBER;D;240123;000000;274.69;277.26;274.31;275.9;20017040
SBER;D;240124;000000;275.94;276.44;273.7;273.77;20187430
SBER;D;240125;000000;274.03;274.18;271.55;272.81;24422490
SBER;D;240126;000000;273.1;273.72;272.21;272.65;11102660
SBER;D;240129;000000;273.05;274.95;272.7;274.05;17043130
SBER;D;240130;000000;274.05;277.25;273.97;275.67;27222730
SBER;D;240131;000000;275.8;276.45;275;276;12527800
SBER;D;240201;000000;276.07;277.75;275.93;276.86;15941680
SBER;D;240202;000000;277.01;277.3;276;276.74;12688460
SBER;D;240205;000000;276.94;278.57;276.9;277.84;16017040
SBER;D;240206;000000;278;278.99;277.3;278.67;15925370
SBER;D;240207;000000;278.81;284.5;278.81;284.41;45347300
SBER;D;240208;000000;284.56;286.24;281.25;282.17;44060410
SBER;D;240209;000000;282.16;284;281.5;283.5;24301430
SBER;D;240212;000000;283.67;287.84;283.5;287.28;33867350
SBER;D;240213;000000;287.52;289;285.4;287.07;33266090
SBER;D;240214;000000;287.08;290.6;286.84;289.06;35814960
SBER;D;240215;000000;289.26;290.45;287.63;290.24;25888540
SBER;D;240216;000000;290.47;292.3;286.25;288.33;53426930
SBER;D;240219;000000;288.59;289.98;287.07;288.93;24275510
SBER;D;240220;000000;289.23;289.28;283.29;283.9;44931560
SBER;D;240221;000000;283.91;285.28;280.2;282;48809450
SBER;D;240222;000000;282.24;285.05;282.1;284.77;25107350
SBER;D;240226;000000;288.52;291.3;287;291.25;42606720
SBER;D;240227;000000;291.34;293;290.55;292.52;32411030
SBER;D;240228;000000;292.61;293.95;289.75;291.75;49212360
SBER;D;240229;000000;292.3;293.2;291.3;292.19;22398680
SBER;D;240301;000000;292.21;295.88;292.21;295.38;27050460
SBER;D;240304;000000;295.8;299.5;295.8;299.17;40526260
SBER;D;240305;000000;299.32;300.41;297.57;298.4;41691010
SBER;D;240306;000000;298.19;299.33;296.82;297.71;17675740
SBER;D;240307;000000;297.72;300.58;297.24;300.4;21933870
SBER;D;240311;000000;300.99;302.95;298.5;299.79;41634000
SBER;D;240312;000000;299.54;301.07;297.34;300.9;28579520
SBER;D;240313;000000;301.2;301.49;298.7;298.85;23980400
SBER;D;240314;000000;298.47;298.7;295.14;295.83;42076250
SBER;D;240315;000000;295.75;299.44;295.29;298.3;26002750
SBER;D;240318;000000;299.41;299.98;297.63;298.87;20213950
SBER;D;240319;000000;298.3;299.4;294.21;295.2;59646690
SBER;D;240320;000000;295.4;296.88;293.52;295.4;30646650
SBER;D;240321;000000;295.95;297.3;291.8;295.62;70581560
SBER;D;240322;000000;295.77;296.79;291.05;292.99;48966360
SBER;D;240325;000000;294;294.93;292.13;293.9;25449910
SBER;D;240326;000000;294.44;295.82;293.04;294.11;16268420
SBER;D;240327;000000;294.45;295.11;293.47;295.1;14531720
SBER;D;240328;000000;295.51;299.3;295.51;299;33617440
SBER;D;240329;000000;299.37;299.5;298;298.72;17644190
SBER;D;240401;000000;299.99;301.65;299.5;300.43;28378290
SBER;D;240402;000000;300.42;300.99;298.95;300.38;19900790
SBER;D;240403;000000;300.39;307.13;300.17;306.72;58210390
SBER;D;240404;000000;306.8;307.77;304.36;304.61;29046010
SBER;D;240405;000000;304.65;306.5;303.7;306.1;19315070
SBER;D;240408;000000;306.5;308.6;306.22;307.75;24816860
SBER;D;240409;000000;308.1;309.35;305.51;306.76;31960600
SBER;D;240410;000000;306.76;307.14;304.62;306.48;20618060
SBER;D;240411;000000;306.64;308;305.7;306.95;20511760
SBER;D;240412;000000;307.41;307.87;306.3;307.1;16001210
SBER;D;240415;000000;307.4;308.39;306.64;307.99;20711610
SBER;D;240416;000000;308;308.65;307;308.29;17030710
SBER;D;240417;000000;308.64;309.74;305.91;306.59;28070320
SBER;D;240418;000000;306.02;308.29;305.05;307.99;20296500
SBER;D;240419;000000;308.02;308.38;306.8;307.38;14563250
SBER;D;240422;000000;307.99;315;307.38;314.99;68916500
SBER;D;240423;000000;315.3;315.79;306.26;307.39;92606890
SBER;D;240424;000000;307.52;309.79;306.65;307.94;26515970
SBER;D;240425;000000;307.96;309.07;307.45;308.41;15934990
SBER;D;240426;000000;308.5;309.9;308;309;21126710
SBER;D;240427;000000;309.2;309.99;308.7;308.98;13089900
SBER;D;240429;000000;309.13;309.6;307.65;308.97;10004910
SBER;D;240430;000000;309.19;309.49;308.03;308.24;5969290
SBER;D;240502;000000;308.71;309.19;306.8;307.37;16246440
SBER;D;240503;000000;307.16;308.29;304.34;307.53;30440790
SBER;D;240506;000000;308.08;308.09;305.55;306.01;19100370
SBER;D;240507;000000;306.25;308.87;306.21;308.22;16606530
SBER;D;240508;000000;308.41;311.83;308.08;311.21;33875380
SBER;D;240510;000000;311.49;313.5;311.31;313.49;16675700
SBER;D;240513;000000;314.1;315.7;314.04;314.85;21503920
SBER;D;240514;000000;314.98;318.41;313.58;318.12;35181520
SBER;D;240515;000000;318.2;320.16;317.7;319.7;28195960
SBER;D;240516;000000;320.01;322.91;320;322.91;27790120
SBER;D;240517;000000;322.95;323.5;320.02;323.16;24321350
SBER;D;240520;000000;324;324.85;318.94;321.08;36547050
SBER;D;240521;000000;320.89;322.23;318;320.64;33999260
SBER;D;240522;000000;320.84;323.1;320.84;322.93;18635350
SBER;D;240523;000000;322.8;324;321.23;323.54;17835590
SBER;D;240524;000000;323.83;324.48;319.78;321;26553810
SBER;D;240527;000000;321.08;321.95;315.5;317.09;45678990
SBER;D;240528;000000;317.49;320.9;315.82;318.22;30148450
SBER;D;240529;000000;318.4;320.4;315.92;320.38;22961680
SBER;D;240530;000000;320.91;321.55;316;316.63;26931430
SBER;D;240531;000000;316.5;318.49;309.8;313.11;49135220
SBER;D;240603;000000;313.5;315.5;305;310.95;61756350
SBER;D;240604;000000;310.97;316.5;308.8;316.49;33007760
SBER;D;240605;000000;316.63;318.28;313.85;314.72;27769570
SBER;D;240606;000000;314.7;316.45;311.15;313.08;28304600
SBER;D;240607;000000;313.61;320.64;312.73;319.9;44451740
SBER;D;240610;000000;320.79;321.98;315.21;317.28;26271510
SBER;D;240611;000000;317.5;319.84;315.88;317.8;20045280
SBER;D;240613;000000;305.83;317.82;304.14;317.71;40596660
SBER;D;240614;000000;317.8;320.7;316.2;319.35;21471310
SBER;D;240617;000000;320;320.45;316.85;317.65;15421940
SBER;D;240618;000000;317.65;318;313.02;314.34;21995830
SBER;D;240619;000000;314.38;314.78;307.51;310.7;42166660
SBER;D;240620;000000;310.71;314.72;306.02;314.15;72766890
SBER;D;240621;000000;314.9;316;312.6;314.14;29078260
SBER;D;240624;000000;314.57;319;314.14;317.25;29541850
SBER;D;240625;000000;317.42;319.89;316.28;319.8;25961320
SBER;D;240626;000000;320.1;324.56;319.8;324.55;42419730
SBER;D;240627;000000;324.8;327.83;322.63;327.16;46744210
SBER;D;240628;000000;327.83;329.3;325.8;327.15;40401840
SBER;D;240701;000000;327.68;329;326.25;327.1;31651010
SBER;D;240702;000000;327.3;328.87;326.82;328.37;21147250
SBER;D;240703;000000;328.6;330.45;327;328.2;32149800
SBER;D;240704;000000;328.37;329.57;323.81;324.66;40717120
SBER;D;240705;000000;324.72;327;321.01;325;40395560
SBER;D;240708;000000;325.76;327.44;323.74;324.07;27707420
SBER;D;240709;000000;324.32;325.33;317.5;319.99;54117710
SBER;D;240710;000000;319.01;320.3;314.3;316.68;88434130
SBER;D;240711;000000;289.96;296.98;285.22;295.87;163673770
SBER;D;240712;000000;296.01;297.48;290.97;292.21;49886960
SBER;D;240715;000000;292.93;293.86;283.5;284.38;58676410
SBER;D;240716;000000;284.49;285.69;276.7;285.25;82828490
SBER;D;240717;000000;285.84;289.96;283.23;284.68;42767400
SBER;D;240718;000000;284.69;289.99;282.73;289.83;34064140
SBER;D;240719;000000;290.67;292.58;289.2;289.9;30979970
SBER;D;240722;000000;291;294.95;291;294.71;33311040
SBER;D;240723;000000;295.45;295.48;293.36;294.39;22093540
SBER;D;240724;000000;294.38;296.67;293.2;295.69;24544600
SBER;D;240725;000000;295.7;297.3;294.2;296.37;22844710
SBER;D;240726;000000;296.4;300;292.67;293.3;84884940
SBER;D;240729;000000;292.94;292.94;286;286.58;52219730
SBER;D;240730;000000;286.5;291.99;284.32;290;42534130
SBER;D;240731;000000;290.46;291.2;288.01;289.3;25920100
SBER;D;240801;000000;289.75;290.69;287.04;287.21;18623090
SBER;D;240802;000000;287.21;287.99;284.37;286.04;30076980
SBER;D;240805;000000;282.79;283.46;275.17;275.49;81937270
SBER;D;240806;000000;277.02;281.16;276.35;279.4;43202810
SBER;D;240807;000000;280.01;283.27;277.21;282.2;48382920
SBER;D;240808;000000;283.25;285.42;280;281.09;42244110
SBER;D;240809;000000;280.98;282.67;279.62;281.44;22241490
SBER;D;240812;000000;280.17;281.5;278.03;280.74;27637540
SBER;D;240813;000000;281.05;284.33;280.42;283.92;24020180
SBER;D;240814;000000;284.2;284.7;280.12;280.32;21714850
SBER;D;240815;000000;280.62;280.85;276.73;278.01;28609160
SBER;D;240816;000000;278.06;279;274.32;274.6;26162430
SBER;D;240819;000000;275.08;275.56;265.02;268.17;68554390
SBER;D;240820;000000;268.35;269.49;263.36;266.2;54188810
SBER;D;240821;000000;266.16;267.8;263.86;266.93;37082330
SBER;D;240822;000000;266.93;268.5;260.15;261.6;47832270
SBER;D;240823;000000;261.7;262.8;255.56;259.5;76692590
